"ClaimID","ClaimSize"
"CLM52226","lessthan100K"
"CLM52227","lessthan100K"
"CLM52229","200KandAbove"
"CLM52233","lessthan100K"
"CLM52238","100K-lessthan200K"
"CLM52242","100K-lessthan200K"
"CLM52245","lessthan100K"
"CLM52252","lessthan100K"
"CLM52255","lessthan100K"
"CLM52256","200KandAbove"
"CLM52257","lessthan100K"
"CLM52258","200KandAbove"
"CLM52266","lessthan100K"
"CLM52269","lessthan100K"
"CLM52270","200KandAbove"
"CLM52278","200KandAbove"
"CLM52279","lessthan100K"
"CLM52280","lessthan100K"
"CLM52284","100K-lessthan200K"
"CLM52290","lessthan100K"
"CLM52294","100K-lessthan200K"
"CLM52299","lessthan100K"
"CLM52300","lessthan100K"
"CLM52303","lessthan100K"
"CLM52306","200KandAbove"
"CLM52307","100K-lessthan200K"
"CLM52308","lessthan100K"
"CLM52311","100K-lessthan200K"
"CLM52320","lessthan100K"
"CLM52326","lessthan100K"
"CLM52327","100K-lessthan200K"
"CLM52343","lessthan100K"
"CLM52346","200KandAbove"
"CLM52349","lessthan100K"
"CLM52352","lessthan100K"
"CLM52356","100K-lessthan200K"
"CLM52359","lessthan100K"
"CLM52361","200KandAbove"
"CLM52364","lessthan100K"
"CLM52367","lessthan100K"
"CLM52368","lessthan100K"
"CLM52370","100K-lessthan200K"
"CLM52371","lessthan100K"
"CLM52374","lessthan100K"
"CLM52377","lessthan100K"
"CLM52380","200KandAbove"
"CLM52384","lessthan100K"
"CLM52389","200KandAbove"
"CLM52391","lessthan100K"
"CLM52393","lessthan100K"
"CLM52397","lessthan100K"
"CLM52404","200KandAbove"
"CLM52413","lessthan100K"
"CLM52416","lessthan100K"
"CLM52417","lessthan100K"
"CLM52418","100K-lessthan200K"
"CLM52422","lessthan100K"
"CLM52425","200KandAbove"
"CLM52432","lessthan100K"
"CLM52436","100K-lessthan200K"
"CLM52437","100K-lessthan200K"
"CLM52438","lessthan100K"
"CLM52442","lessthan100K"
"CLM52448","200KandAbove"
"CLM52449","lessthan100K"
"CLM52450","lessthan100K"
"CLM52453","100K-lessthan200K"
"CLM52458","200KandAbove"
"CLM52470","lessthan100K"
"CLM52477","200KandAbove"
"CLM52481","200KandAbove"
"CLM52488","lessthan100K"
"CLM52492","lessthan100K"
"CLM52495","lessthan100K"
"CLM52499","lessthan100K"
"CLM52502","lessthan100K"
"CLM52505","100K-lessthan200K"
"CLM52509","lessthan100K"
"CLM52511","lessthan100K"
"CLM52514","lessthan100K"
"CLM52516","200KandAbove"
"CLM52517","200KandAbove"
"CLM52521","200KandAbove"
"CLM52523","200KandAbove"
"CLM52527","lessthan100K"
"CLM52530","lessthan100K"
"CLM52532","lessthan100K"
"CLM52534","100K-lessthan200K"
"CLM52537","lessthan100K"
"CLM52539","lessthan100K"
"CLM52540","lessthan100K"
"CLM52543","100K-lessthan200K"
"CLM52546","lessthan100K"
"CLM52551","lessthan100K"
"CLM52554","lessthan100K"
"CLM52555","200KandAbove"
"CLM52562","200KandAbove"
"CLM52563","lessthan100K"
"CLM52565","200KandAbove"
"CLM52566","lessthan100K"
"CLM52570","lessthan100K"
"CLM52574","100K-lessthan200K"
"CLM52580","100K-lessthan200K"
"CLM52582","100K-lessthan200K"
"CLM52587","100K-lessthan200K"
"CLM52593","100K-lessthan200K"
"CLM52594","100K-lessthan200K"
"CLM52606","lessthan100K"
"CLM52609","lessthan100K"
"CLM52610","lessthan100K"
"CLM52612","lessthan100K"
"CLM52628","lessthan100K"
"CLM52635","lessthan100K"
"CLM52637","lessthan100K"
"CLM52641","lessthan100K"
"CLM52642","200KandAbove"
"CLM52644","lessthan100K"
"CLM52645","lessthan100K"
"CLM52648","lessthan100K"
"CLM52649","lessthan100K"
"CLM52658","200KandAbove"
"CLM52662","100K-lessthan200K"
"CLM52666","lessthan100K"
"CLM52675","100K-lessthan200K"
"CLM52678","lessthan100K"
"CLM52680","lessthan100K"
"CLM52682","lessthan100K"
"CLM52685","lessthan100K"
"CLM52691","100K-lessthan200K"
"CLM52695","200KandAbove"
"CLM52701","200KandAbove"
"CLM52705","100K-lessthan200K"
"CLM52706","100K-lessthan200K"
"CLM52715","100K-lessthan200K"
"CLM52716","200KandAbove"
"CLM52720","lessthan100K"
"CLM52721","lessthan100K"
"CLM52731","lessthan100K"
"CLM52737","lessthan100K"
"CLM52738","lessthan100K"
"CLM52741","lessthan100K"
"CLM52746","lessthan100K"
"CLM52765","lessthan100K"
"CLM52774","lessthan100K"
"CLM52776","lessthan100K"
"CLM52777","lessthan100K"
"CLM52781","lessthan100K"
"CLM52783","lessthan100K"
"CLM52784","lessthan100K"
"CLM52786","lessthan100K"
"CLM52790","lessthan100K"
"CLM52793","lessthan100K"
"CLM52797","lessthan100K"
"CLM52798","200KandAbove"
"CLM52802","200KandAbove"
"CLM52817","lessthan100K"
"CLM52830","lessthan100K"
"CLM52834","lessthan100K"
"CLM52838","200KandAbove"
"CLM52841","lessthan100K"
"CLM52845","200KandAbove"
"CLM52850","100K-lessthan200K"
"CLM52854","lessthan100K"
"CLM52855","100K-lessthan200K"
"CLM52856","100K-lessthan200K"
"CLM52859","lessthan100K"
"CLM52863","lessthan100K"
"CLM52866","lessthan100K"
"CLM52868","100K-lessthan200K"
"CLM52873","lessthan100K"
"CLM52879","lessthan100K"
"CLM52884","lessthan100K"
"CLM52886","100K-lessthan200K"
"CLM52887","lessthan100K"
"CLM52888","lessthan100K"
"CLM52893","200KandAbove"
"CLM52900","lessthan100K"
"CLM52901","lessthan100K"
"CLM52904","lessthan100K"
"CLM52905","200KandAbove"
"CLM52914","lessthan100K"
"CLM52916","100K-lessthan200K"
"CLM52929","200KandAbove"
"CLM52930","200KandAbove"
"CLM52934","lessthan100K"
"CLM52950","lessthan100K"
"CLM52957","lessthan100K"
"CLM52964","lessthan100K"
"CLM52968","200KandAbove"
"CLM52974","200KandAbove"
"CLM52981","lessthan100K"
"CLM52990","200KandAbove"
"CLM52992","100K-lessthan200K"
"CLM52996","200KandAbove"
"CLM53000","lessthan100K"
"CLM53007","lessthan100K"
"CLM53014","100K-lessthan200K"
"CLM53020","lessthan100K"
"CLM53030","lessthan100K"
"CLM53037","lessthan100K"
"CLM53039","lessthan100K"
"CLM53040","100K-lessthan200K"
"CLM53041","100K-lessthan200K"
"CLM53047","100K-lessthan200K"
"CLM53052","200KandAbove"
"CLM53055","lessthan100K"
"CLM53056","200KandAbove"
"CLM53057","100K-lessthan200K"
"CLM53058","200KandAbove"
"CLM53061","200KandAbove"
"CLM53065","lessthan100K"
"CLM53072","200KandAbove"
"CLM53076","lessthan100K"
"CLM53079","200KandAbove"
"CLM53081","lessthan100K"
"CLM53083","lessthan100K"
"CLM53085","lessthan100K"
"CLM53088","lessthan100K"
"CLM53090","lessthan100K"
"CLM53105","lessthan100K"
"CLM53106","200KandAbove"
"CLM53107","lessthan100K"
"CLM53109","lessthan100K"
"CLM53111","200KandAbove"
"CLM53116","lessthan100K"
"CLM53120","200KandAbove"
"CLM53130","100K-lessthan200K"
"CLM53135","lessthan100K"
"CLM53137","200KandAbove"
"CLM53139","100K-lessthan200K"
"CLM53140","lessthan100K"
"CLM53143","lessthan100K"
"CLM53149","lessthan100K"
"CLM53150","lessthan100K"
"CLM53153","lessthan100K"
"CLM53167","lessthan100K"
"CLM53176","100K-lessthan200K"
"CLM53179","100K-lessthan200K"
"CLM53182","100K-lessthan200K"
"CLM53190","lessthan100K"
"CLM53196","lessthan100K"
"CLM53198","lessthan100K"
"CLM53203","lessthan100K"
"CLM53206","200KandAbove"
"CLM53207","200KandAbove"
"CLM53215","100K-lessthan200K"
"CLM53232","lessthan100K"
"CLM53242","lessthan100K"
"CLM53247","100K-lessthan200K"
"CLM53258","100K-lessthan200K"
"CLM53259","100K-lessthan200K"
"CLM53270","lessthan100K"
"CLM53276","lessthan100K"
"CLM53289","100K-lessthan200K"
"CLM53290","lessthan100K"
"CLM53296","100K-lessthan200K"
"CLM53297","lessthan100K"
"CLM53302","200KandAbove"
"CLM53307","100K-lessthan200K"
"CLM53318","100K-lessthan200K"
"CLM53325","lessthan100K"
"CLM53326","200KandAbove"
"CLM53329","lessthan100K"
"CLM53330","lessthan100K"
"CLM53334","lessthan100K"
"CLM53335","lessthan100K"
"CLM53336","lessthan100K"
"CLM53345","lessthan100K"
"CLM53349","lessthan100K"
"CLM53355","100K-lessthan200K"
"CLM53358","100K-lessthan200K"
"CLM53359","100K-lessthan200K"
"CLM53361","200KandAbove"
"CLM53365","200KandAbove"
"CLM53366","lessthan100K"
"CLM53369","lessthan100K"
"CLM53373","100K-lessthan200K"
"CLM53375","100K-lessthan200K"
"CLM53379","lessthan100K"
"CLM53391","lessthan100K"
"CLM53394","lessthan100K"
"CLM53395","lessthan100K"
"CLM53397","100K-lessthan200K"
"CLM53398","lessthan100K"
"CLM53401","200KandAbove"
"CLM53403","lessthan100K"
"CLM53406","lessthan100K"
"CLM53407","lessthan100K"
"CLM53409","lessthan100K"
"CLM53415","lessthan100K"
"CLM53419","lessthan100K"
"CLM53423","lessthan100K"
"CLM53426","100K-lessthan200K"
"CLM53427","lessthan100K"
"CLM53428","200KandAbove"
"CLM53432","lessthan100K"
"CLM53434","lessthan100K"
"CLM53435","100K-lessthan200K"
"CLM53447","lessthan100K"
"CLM53448","lessthan100K"
"CLM53451","200KandAbove"
"CLM53454","lessthan100K"
"CLM53460","200KandAbove"
"CLM53463","lessthan100K"
"CLM53468","lessthan100K"
"CLM53472","lessthan100K"
"CLM53477","lessthan100K"
"CLM53485","100K-lessthan200K"
"CLM53487","lessthan100K"
"CLM53490","200KandAbove"
"CLM53491","lessthan100K"
"CLM53492","lessthan100K"
"CLM53498","lessthan100K"
"CLM53503","lessthan100K"
"CLM53504","100K-lessthan200K"
"CLM53506","100K-lessthan200K"
"CLM53509","lessthan100K"
"CLM53510","100K-lessthan200K"
"CLM53514","lessthan100K"
"CLM53517","100K-lessthan200K"
"CLM53519","lessthan100K"
"CLM53529","200KandAbove"
"CLM53534","lessthan100K"
"CLM53542","lessthan100K"
"CLM53543","lessthan100K"
"CLM53545","lessthan100K"
"CLM53547","100K-lessthan200K"
"CLM53553","lessthan100K"
"CLM53561","lessthan100K"
"CLM53566","lessthan100K"
"CLM53573","200KandAbove"
"CLM53576","lessthan100K"
"CLM53579","200KandAbove"
"CLM53587","100K-lessthan200K"
"CLM53588","lessthan100K"
"CLM53594","200KandAbove"
"CLM53595","lessthan100K"
"CLM53599","lessthan100K"
"CLM53601","lessthan100K"
"CLM53607","200KandAbove"
"CLM53615","lessthan100K"
"CLM53616","lessthan100K"
"CLM53619","100K-lessthan200K"
"CLM53623","lessthan100K"
"CLM53627","lessthan100K"
"CLM53633","lessthan100K"
"CLM53634","lessthan100K"
"CLM53637","100K-lessthan200K"
"CLM53641","lessthan100K"
"CLM53645","100K-lessthan200K"
"CLM53660","lessthan100K"
"CLM53665","lessthan100K"
"CLM53675","200KandAbove"
"CLM53677","100K-lessthan200K"
"CLM53678","lessthan100K"
"CLM53679","100K-lessthan200K"
"CLM53680","lessthan100K"
"CLM53682","100K-lessthan200K"
"CLM53687","100K-lessthan200K"
"CLM53688","100K-lessthan200K"
"CLM53693","200KandAbove"
"CLM53700","lessthan100K"
"CLM53707","100K-lessthan200K"
"CLM53716","lessthan100K"
"CLM53717","lessthan100K"
"CLM53720","100K-lessthan200K"
"CLM53723","200KandAbove"
"CLM53732","100K-lessthan200K"
"CLM53735","100K-lessthan200K"
"CLM53738","200KandAbove"
"CLM53745","lessthan100K"
"CLM53747","200KandAbove"
"CLM53755","lessthan100K"
"CLM53760","lessthan100K"
"CLM53768","200KandAbove"
"CLM53770","lessthan100K"
"CLM53776","lessthan100K"
"CLM53784","lessthan100K"
"CLM53785","lessthan100K"
"CLM53787","lessthan100K"
"CLM53788","100K-lessthan200K"
"CLM53789","lessthan100K"
"CLM53803","lessthan100K"
"CLM53815","lessthan100K"
"CLM53817","lessthan100K"
"CLM53823","100K-lessthan200K"
"CLM53828","200KandAbove"
"CLM53831","lessthan100K"
"CLM53840","lessthan100K"
"CLM53860","lessthan100K"
"CLM53862","lessthan100K"
"CLM53880","lessthan100K"
"CLM53882","100K-lessthan200K"
"CLM53884","lessthan100K"
"CLM53897","lessthan100K"
"CLM53900","lessthan100K"
"CLM53901","lessthan100K"
"CLM53902","lessthan100K"
"CLM53904","lessthan100K"
"CLM53911","100K-lessthan200K"
"CLM53912","lessthan100K"
"CLM53915","lessthan100K"
"CLM53927","100K-lessthan200K"
"CLM53928","lessthan100K"
"CLM53935","100K-lessthan200K"
"CLM53953","200KandAbove"
"CLM53954","lessthan100K"
"CLM53957","lessthan100K"
"CLM53959","lessthan100K"
"CLM53960","100K-lessthan200K"
"CLM53963","200KandAbove"
"CLM53965","lessthan100K"
"CLM53966","lessthan100K"
"CLM53967","lessthan100K"
"CLM53968","lessthan100K"
"CLM53974","100K-lessthan200K"
"CLM53979","lessthan100K"
"CLM53985","lessthan100K"
"CLM53988","100K-lessthan200K"
"CLM53994","lessthan100K"
"CLM53996","100K-lessthan200K"
"CLM53998","200KandAbove"
"CLM54008","100K-lessthan200K"
"CLM54010","lessthan100K"
"CLM54019","lessthan100K"
"CLM54021","lessthan100K"
"CLM54024","lessthan100K"
"CLM54025","100K-lessthan200K"
"CLM54032","lessthan100K"
"CLM54033","lessthan100K"
"CLM54038","lessthan100K"
"CLM54039","lessthan100K"
"CLM54043","lessthan100K"
"CLM54044","lessthan100K"
"CLM54045","200KandAbove"
"CLM54047","200KandAbove"
"CLM54054","lessthan100K"
"CLM54070","100K-lessthan200K"
"CLM54071","200KandAbove"
"CLM54075","200KandAbove"
"CLM54079","lessthan100K"
"CLM54080","lessthan100K"
"CLM54083","lessthan100K"
"CLM54084","200KandAbove"
"CLM54097","lessthan100K"
"CLM54098","100K-lessthan200K"
"CLM54100","lessthan100K"
"CLM54103","lessthan100K"
"CLM54104","200KandAbove"
"CLM54105","lessthan100K"
"CLM54106","100K-lessthan200K"
"CLM54118","lessthan100K"
"CLM54121","lessthan100K"
"CLM54124","lessthan100K"
"CLM54125","lessthan100K"
"CLM54126","lessthan100K"
"CLM54131","lessthan100K"
"CLM54139","lessthan100K"
"CLM54140","200KandAbove"
"CLM54146","lessthan100K"
"CLM54157","100K-lessthan200K"
"CLM54158","100K-lessthan200K"
"CLM54160","lessthan100K"
"CLM54163","lessthan100K"
"CLM54170","lessthan100K"
"CLM54173","lessthan100K"
"CLM54179","lessthan100K"
"CLM54189","lessthan100K"
"CLM54194","200KandAbove"
"CLM54196","lessthan100K"
"CLM54198","lessthan100K"
"CLM54200","lessthan100K"
"CLM54203","lessthan100K"
"CLM54204","100K-lessthan200K"
"CLM54207","100K-lessthan200K"
"CLM54209","lessthan100K"
"CLM54223","lessthan100K"
"CLM54224","lessthan100K"
"CLM54228","lessthan100K"
"CLM54230","100K-lessthan200K"
"CLM54232","lessthan100K"
"CLM54234","lessthan100K"
"CLM54237","200KandAbove"
"CLM54241","100K-lessthan200K"
"CLM54242","100K-lessthan200K"
"CLM54243","lessthan100K"
"CLM54251","lessthan100K"
"CLM54255","100K-lessthan200K"
"CLM54256","lessthan100K"
"CLM54263","100K-lessthan200K"
"CLM54272","200KandAbove"
"CLM54273","200KandAbove"
"CLM54279","100K-lessthan200K"
"CLM54281","lessthan100K"
"CLM54283","100K-lessthan200K"
"CLM54286","200KandAbove"
"CLM54294","lessthan100K"
"CLM54303","lessthan100K"
"CLM54305","lessthan100K"
"CLM54314","lessthan100K"
"CLM54316","lessthan100K"
"CLM54322","100K-lessthan200K"
"CLM54323","lessthan100K"
"CLM54324","100K-lessthan200K"
"CLM54331","lessthan100K"
"CLM54335","100K-lessthan200K"
"CLM54341","100K-lessthan200K"
"CLM54343","lessthan100K"
"CLM54346","lessthan100K"
"CLM54352","lessthan100K"
"CLM54356","100K-lessthan200K"
"CLM54371","lessthan100K"
"CLM54376","lessthan100K"
"CLM54380","lessthan100K"
"CLM54386","lessthan100K"
"CLM54387","lessthan100K"
"CLM54393","200KandAbove"
"CLM54398","100K-lessthan200K"
"CLM54400","lessthan100K"
"CLM54402","lessthan100K"
"CLM54404","lessthan100K"
"CLM54405","lessthan100K"
"CLM54407","200KandAbove"
"CLM54412","200KandAbove"
"CLM54414","lessthan100K"
"CLM54418","lessthan100K"
"CLM54424","100K-lessthan200K"
"CLM54426","lessthan100K"
"CLM54428","200KandAbove"
"CLM54430","lessthan100K"
"CLM54438","lessthan100K"
"CLM54443","200KandAbove"
"CLM54448","100K-lessthan200K"
"CLM54459","100K-lessthan200K"
"CLM54463","lessthan100K"
"CLM54464","200KandAbove"
"CLM54469","100K-lessthan200K"
"CLM54470","lessthan100K"
"CLM54472","lessthan100K"
"CLM54488","lessthan100K"
"CLM54494","lessthan100K"
"CLM54496","lessthan100K"
"CLM54504","lessthan100K"
"CLM54511","lessthan100K"
"CLM54513","lessthan100K"
"CLM54518","lessthan100K"
"CLM54523","lessthan100K"
"CLM54524","100K-lessthan200K"
"CLM54527","lessthan100K"
"CLM54529","lessthan100K"
"CLM54530","lessthan100K"
"CLM54531","lessthan100K"
"CLM54536","100K-lessthan200K"
"CLM54543","lessthan100K"
"CLM54561","lessthan100K"
"CLM54562","200KandAbove"
"CLM54570","100K-lessthan200K"
"CLM54572","lessthan100K"
"CLM54573","200KandAbove"
"CLM54578","200KandAbove"
"CLM54581","lessthan100K"
"CLM54582","lessthan100K"
"CLM54588","100K-lessthan200K"
"CLM54589","200KandAbove"
"CLM54592","200KandAbove"
"CLM54596","100K-lessthan200K"
"CLM54598","lessthan100K"
"CLM54602","lessthan100K"
"CLM54603","100K-lessthan200K"
"CLM54605","200KandAbove"
"CLM54606","lessthan100K"
"CLM54613","lessthan100K"
"CLM54616","lessthan100K"
"CLM54618","lessthan100K"
"CLM54623","lessthan100K"
"CLM54626","100K-lessthan200K"
"CLM54628","lessthan100K"
"CLM54632","100K-lessthan200K"
"CLM54640","lessthan100K"
"CLM54646","200KandAbove"
"CLM54648","lessthan100K"
"CLM54649","lessthan100K"
"CLM54659","lessthan100K"
"CLM54660","lessthan100K"
"CLM54664","lessthan100K"
"CLM54669","lessthan100K"
"CLM54670","100K-lessthan200K"
"CLM54672","lessthan100K"
"CLM54674","200KandAbove"
"CLM54675","lessthan100K"
"CLM54676","lessthan100K"
"CLM54692","100K-lessthan200K"
"CLM54697","lessthan100K"
"CLM54699","lessthan100K"
"CLM54701","lessthan100K"
"CLM54702","100K-lessthan200K"
"CLM54703","lessthan100K"
"CLM54704","100K-lessthan200K"
"CLM54705","lessthan100K"
"CLM54708","lessthan100K"
"CLM54709","200KandAbove"
"CLM54710","200KandAbove"
"CLM54717","100K-lessthan200K"
"CLM54718","100K-lessthan200K"
"CLM54723","lessthan100K"
